,english,arabic
3882,"(6) The measures provided for in this Regulation are in accordance with the opinion of the Standing Committee on the Food Chain and Animal Health,",(4) ينبغي تصحيح اللائحة (المفوضية الأوروبية) رقم ‎1282/2002 المذكورة وفقًا لذلك.
3883,"In Article 2 of Regulation (EC) No 1282/2002, the following second paragraph is inserted: ""It shall apply from 1 March 2003.""",قد اعتمد هذه اللائحة:
3884,Council Regulation (EC) No 1881/2002,المادة 2
3885,"THE COUNCIL OF THE EUROPEAN UNION,",بتاريخ 14 أكتوبر 2002
3886,"Having regard to the opinion of the European Parliament(2),",مع مراعاة المعاهدة المؤسسة للمجموعة الأوروبية، وخاصةً المادة 37 منها،
3887,"(1) Pursuant to Article 13(1) of Council Regulation (EC) No 2200/96 of 28 October 1996 on the common organisation of the market in fruit and vegetables(4), a transitional period of two years, starting from its date of entry into force, in which the provisions of Title IV of the aforementioned Regulation would apply, was granted to producer organisations recognised under Regulation (EEC) No 1035/72(5), who did not meet the requirements for recognition of Regulation (EC) No 2200/96. This two-year transitional period could be extended to five years subject to acceptance by the relevant Member State of an action plan presented by the producer organisation in order to comply with all requirements provided for by Regulation (EC) No 2200/96 for being granted recognition by that Member State.",مع مراعاة الرأي الصادر عن اللجنة الاقتصادية والاجتماعية (3)،
3888,HAS ADOPTED THIS REGULATION:,(2) تحدد اللائحة (المفوضية الأوروبية) رقم ‎2200/96 في المادة 13 (1) تاريخ بدء الفترات الانتقالية التي تمتد لمدة سنتين وخمس سنوات منذ تاريخ دخول هذه اللائحة حيز التنفيذ وتحديدًا في 21 نوفمبر 1996. ولكن في الحقيقة هذا التاريخ كان نتيجة لخطأ، فالأهلية للتدابير الانتقالية بدءًا من تاريخ دخول اللائحة (المفوضية الأوروبية) رقم ‎2200/96 حيز التنفيذ كان من الممكن أن تكون بلا معنى لأن اللائحة (المجموعة الاقتصادية الأوروبية) رقم ‎2200/96 كانت لا تزال في حيز التنفيذ حتى 31 ديسمبر 1996. وبدلاً من ذلك، كان من المفترض أن يكون تاريخ بدء الفترات الانتقالية هو تاريخ تطبيق اللائحة (المفوضية الأوروبية) رقم ‎2200/96.
3889,Article 2,المادة 1
3890,of 28 October 2002,تدخل هذه اللائحة حيز التنفيذ في اليوم العشرين بعد نشرها في الجريدة الرسمية للمجموعات الأوروبية.
3891,"Having regard to the Treaty establishing the European Community,",المعدِّلة للائحة (المجموعة الاقتصادية الأوروبية) رقم ‎3149/92 التي تحدد القواعد التفصيلية الخاصة بالإمداد بالأغذية من مخزونات التدخل لمصلحة الأشخاص الأكثر حرمانًا في المجموعة
3892,"(1) Article 3 of Commission Regulation (EEC) No 3149/92(3), as last amended by Regulation (EC) No 1098/2001(4), provides that implementation of the annual plan for the distribution of the food products to the most deprived persons shall run from 1 October to 30 September of the following year. For the sake of the sound management of intervention stocks, provision should be made to ensure that the products to be distributed are withdrawn from intervention stocks by 31 August of the year of distribution at the latest.",مع مراعاة لائحة المجلس (المجموعة الاقتصادية الأوروبية) رقم ‎3730/87 الصادرة بتاريخ 10 ديسمبر 1987 والتي تحدد القواعد العامة للإمداد بالأغذية من مخزونات التدخل إلى المنظمات المعينة لتوزيعها على الأشخاص الأكثر حرمانًا في المجموعة (1)، وفقًا لما تم تعديله بواسطة اللائحة (المفوضية الأوروبية) رقم ‎2535/95 ‏(2)، وخاصة المادة 6 منها،
3893,"(4) The measures provided for in this Regulation are in accordance with the opinions of the Management Committees concerned,",(2) تحدد المادة 5 من اللائحة (المجموعة الاقتصادية الأوروبية) رقم ‎3149/92 القيمة الحسابية للمنتجات المتوفرة. يجب تكييف هذا الحكم ليراعي التغييرات التي حدثت لنظام التدخل والتي تؤثر على التنظيم المشترك لأسواق لحوم الأبقار والعجول.
